測站名稱,地址,經度,緯度,高度,距離道路
鼓山圖書分館,鼓山區鼓山三路19之3號,"E120°16'32""","N22°39'12""",10,8
西子灣中山大學,鼓山區蓮海路70號,"E120°15'57""","N22°37'35""",12,20
左營國小,左營區實踐路42號,"E120°17'36""","N22°41'26""",12,20
半屏山電信局,仁武區高楠公路21號,"E120°19'16""","N22°41'30""",15,30
楠梓區清潔隊,楠梓區楠梓路146號,"E120°19'43""","N22°43'50""",9,5
河濱國小,三民區市中一路339號,"E120°17'15""","N22°38'04""",15,30
愛國國小,三民區十全一路1號,"E120°18'49""","N22°38'41""",15,15
莊敬國小,三民區大昌一路200號,"E120°19'26""","N22°39'22""",10,50
勞工博物館,前金區中正四路261號,"E120°17'23""","N22°37'37""",14,5
環保局環境檢驗科,苓雅區三多二路102號,"E120°19'21""","N22°37'12""",10,8
前鎮國小,前鎮區新生路200號,"E120°18'30""","N22°35'12""",12.5,15
路竹地政事務所,路竹區國昌路65號,"E120°15'34""","N22°51'15""",14,20
仁武國中,仁武區仁林路20號,"E120°21'22""","N22°42'11""",12.9,25
大寮區公所,大寮區鳳林三路492號,"E120°23'44""","N22°36'20""",13.1,20
岡山醫院,岡山區壽天路12號,"E120°17'40""","N22°47'48""",12.2,30
林園工業區,林園區石化二路10號,"E120°24'24""","N22°29'59""",11.1,5
大社工業區,大社區經建路5號,"E120°20'06""","N22°43'26""",9.2,10
永安工業區,永安區永工六路1號,"E120°15'21""","N22°48'50""",8.9,30
阿蓮區公所,阿蓮區阿蓮里民生路94號,"E120°19'38""","N22°52'59""",9,36
鳳陽國小,小港區鳳陽街2號,"E120°22'13""","N22°33'41""",15,15
大林蒲監測站,小港區鳳林路116號,"E120°20'46""","N22°31'37""",15,15
